,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Like
57,0.605,0.609,7,-7.063,1,0.0278,0.188,0.0,0.0982,0.275,119.914,audio_features,2WQAknZHrJAEQOFXe0F44P,spotify:track:2WQAknZHrJAEQOFXe0F44P,https://api.spotify.com/v1/tracks/2WQAknZHrJAEQOFXe0F44P,https://api.spotify.com/v1/audio-analysis/2WQAknZHrJAEQOFXe0F44P,230333,4,1
58,0.466,0.548,5,-9.362,0,0.118,0.42,1.01e-06,0.113,0.423,89.815,audio_features,7eqoqGkKwgOaWNNHx90uEZ,spotify:track:7eqoqGkKwgOaWNNHx90uEZ,https://api.spotify.com/v1/tracks/7eqoqGkKwgOaWNNHx90uEZ,https://api.spotify.com/v1/audio-analysis/7eqoqGkKwgOaWNNHx90uEZ,307151,4,1
59,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,audio_features,5hVghJ4KaYES3BFUATCYn0,spotify:track:5hVghJ4KaYES3BFUATCYn0,https://api.spotify.com/v1/tracks/5hVghJ4KaYES3BFUATCYn0,https://api.spotify.com/v1/audio-analysis/5hVghJ4KaYES3BFUATCYn0,190067,4,1
60,0.615,0.475,8,-7.351,0,0.029,0.135,4.1e-06,0.235,0.378,127.982,audio_features,6413UUgINHbZsCJeJBFlmT,spotify:track:6413UUgINHbZsCJeJBFlmT,https://api.spotify.com/v1/tracks/6413UUgINHbZsCJeJBFlmT,https://api.spotify.com/v1/audio-analysis/6413UUgINHbZsCJeJBFlmT,198117,4,1
0,0.562,0.541,7,-6.024,1,0.0247,0.495,0.0,0.0767,0.857,94.456,audio_features,38gMXVJzule5UtZD2SnKjY,spotify:track:38gMXVJzule5UtZD2SnKjY,https://api.spotify.com/v1/tracks/38gMXVJzule5UtZD2SnKjY,https://api.spotify.com/v1/audio-analysis/38gMXVJzule5UtZD2SnKjY,104760,4,0
1,0.605,0.789,4,-7.035,0,0.0338,0.00219,0.0178,0.127,0.434,136.041,audio_features,38psZM2gA6UWA7rqqgOjGL,spotify:track:38psZM2gA6UWA7rqqgOjGL,https://api.spotify.com/v1/tracks/38psZM2gA6UWA7rqqgOjGL,https://api.spotify.com/v1/audio-analysis/38psZM2gA6UWA7rqqgOjGL,243800,4,0
2,0.391,0.617,9,-4.993,1,0.0551,0.0378,0.0,0.116,0.585,199.941,audio_features,3rNYkRnptT2EJViC13Pae9,spotify:track:3rNYkRnptT2EJViC13Pae9,https://api.spotify.com/v1/tracks/3rNYkRnptT2EJViC13Pae9,https://api.spotify.com/v1/audio-analysis/3rNYkRnptT2EJViC13Pae9,202987,4,0
3,0.418,0.833,2,-5.212,1,0.0541,0.00361,0.00256,0.321,0.468,134.886,audio_features,1T6omeodSEjDAPE4J5RIhY,spotify:track:1T6omeodSEjDAPE4J5RIhY,https://api.spotify.com/v1/tracks/1T6omeodSEjDAPE4J5RIhY,https://api.spotify.com/v1/audio-analysis/1T6omeodSEjDAPE4J5RIhY,160720,4,0
4,0.53,0.844,11,-6.566,0,0.0585,0.0408,7.89e-05,0.346,0.392,121.577,audio_features,0V7VYZiDt2kNO4WAhXXyxU,spotify:track:0V7VYZiDt2kNO4WAhXXyxU,https://api.spotify.com/v1/tracks/0V7VYZiDt2kNO4WAhXXyxU,https://api.spotify.com/v1/audio-analysis/0V7VYZiDt2kNO4WAhXXyxU,306976,4,0
5,0.818,0.191,2,-16.024,0,0.0502,0.815,0.0163,0.108,0.803,97.16,audio_features,6F6C45EDs9EFHJfCm2HXt2,spotify:track:6F6C45EDs9EFHJfCm2HXt2,https://api.spotify.com/v1/tracks/6F6C45EDs9EFHJfCm2HXt2,https://api.spotify.com/v1/audio-analysis/6F6C45EDs9EFHJfCm2HXt2,233533,4,0
6,0.527,0.617,11,-7.875,1,0.0396,0.295,0.276,0.115,0.737,151.078,audio_features,2KOYutqtTuwsObNiBwpbW5,spotify:track:2KOYutqtTuwsObNiBwpbW5,https://api.spotify.com/v1/tracks/2KOYutqtTuwsObNiBwpbW5,https://api.spotify.com/v1/audio-analysis/2KOYutqtTuwsObNiBwpbW5,272440,4,0
7,0.726,0.58,5,-7.82,0,0.0397,0.873,0.335,0.0996,0.486,117.115,audio_features,7s5HsYAvQCDWhRd3zKscpB,spotify:track:7s5HsYAvQCDWhRd3zKscpB,https://api.spotify.com/v1/tracks/7s5HsYAvQCDWhRd3zKscpB,https://api.spotify.com/v1/audio-analysis/7s5HsYAvQCDWhRd3zKscpB,261813,4,0
8,0.432,0.436,0,-9.792,1,0.0295,0.866,0.481,0.0782,0.326,102.92,audio_features,4HPgHggqD5eaNwl0pQ9wWX,spotify:track:4HPgHggqD5eaNwl0pQ9wWX,https://api.spotify.com/v1/tracks/4HPgHggqD5eaNwl0pQ9wWX,https://api.spotify.com/v1/audio-analysis/4HPgHggqD5eaNwl0pQ9wWX,156440,4,0
9,0.586,0.386,9,-8.354,1,0.0475,0.231,0.00292,0.112,0.191,69.662,audio_features,3XVP7mWv5NPIYF8uemzOLw,spotify:track:3XVP7mWv5NPIYF8uemzOLw,https://api.spotify.com/v1/tracks/3XVP7mWv5NPIYF8uemzOLw,https://api.spotify.com/v1/audio-analysis/3XVP7mWv5NPIYF8uemzOLw,218000,4,0
10,0.576,0.566,0,-9.753,0,0.0289,0.49,0.0187,0.377,0.241,89.993,audio_features,50c35CdzSsJjNZLv3boCk2,spotify:track:50c35CdzSsJjNZLv3boCk2,https://api.spotify.com/v1/tracks/50c35CdzSsJjNZLv3boCk2,https://api.spotify.com/v1/audio-analysis/50c35CdzSsJjNZLv3boCk2,231827,4,0
11,0.769,0.405,6,-9.152,1,0.269,0.545,0.000887,0.0521,0.521,78.427,audio_features,13XYA5WMxcj8e3gB1pNLST,spotify:track:13XYA5WMxcj8e3gB1pNLST,https://api.spotify.com/v1/tracks/13XYA5WMxcj8e3gB1pNLST,https://api.spotify.com/v1/audio-analysis/13XYA5WMxcj8e3gB1pNLST,221213,4,0
12,0.377,0.574,1,-5.958,1,0.174,0.0258,2.95e-05,0.0833,0.599,157.911,audio_features,1ZUjHBqo1DYXy0FOJksYVB,spotify:track:1ZUjHBqo1DYXy0FOJksYVB,https://api.spotify.com/v1/tracks/1ZUjHBqo1DYXy0FOJksYVB,https://api.spotify.com/v1/audio-analysis/1ZUjHBqo1DYXy0FOJksYVB,130080,4,0
