,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
44,0.697,0.487,3,-10.558,1,0.0307,0.443,5.56e-05,0.118,0.678,112.052,audio_features,2NktVITCCvZMYePn5fgANh,spotify:track:2NktVITCCvZMYePn5fgANh,https://api.spotify.com/v1/tracks/2NktVITCCvZMYePn5fgANh,https://api.spotify.com/v1/audio-analysis/2NktVITCCvZMYePn5fgANh,156213,4
45,0.508,0.777,4,-5.593,1,0.0354,0.0549,6.6e-06,0.137,0.598,92.236,audio_features,0UBZE3FPRyNxsRndWr2d3r,spotify:track:0UBZE3FPRyNxsRndWr2d3r,https://api.spotify.com/v1/tracks/0UBZE3FPRyNxsRndWr2d3r,https://api.spotify.com/v1/audio-analysis/0UBZE3FPRyNxsRndWr2d3r,292680,4
46,0.519,0.163,0,-18.131,0,0.0489,0.926,0.751,0.115,0.356,142.116,audio_features,3tchJ8gDgMdaSxpaLxlr1F,spotify:track:3tchJ8gDgMdaSxpaLxlr1F,https://api.spotify.com/v1/tracks/3tchJ8gDgMdaSxpaLxlr1F,https://api.spotify.com/v1/audio-analysis/3tchJ8gDgMdaSxpaLxlr1F,168040,4
47,0.443,0.819,6,-5.502,1,0.0322,0.000248,0.00759,0.0802,0.494,154.958,audio_features,415dK4glwDO7fXxYg3np8B,spotify:track:415dK4glwDO7fXxYg3np8B,https://api.spotify.com/v1/tracks/415dK4glwDO7fXxYg3np8B,https://api.spotify.com/v1/audio-analysis/415dK4glwDO7fXxYg3np8B,204667,4
48,0.625,0.645,9,-5.959,1,0.0278,0.54,0.0776,0.347,0.685,106.996,audio_features,5u9cuDcYdOpSRB7fAYXXdp,spotify:track:5u9cuDcYdOpSRB7fAYXXdp,https://api.spotify.com/v1/tracks/5u9cuDcYdOpSRB7fAYXXdp,https://api.spotify.com/v1/audio-analysis/5u9cuDcYdOpSRB7fAYXXdp,187572,4
49,0.626,0.323,4,-9.607,1,0.0339,0.667,0.0,0.0605,0.234,130.086,audio_features,7mLIL4OdNdwFcGNlTcWa0c,spotify:track:7mLIL4OdNdwFcGNlTcWa0c,https://api.spotify.com/v1/tracks/7mLIL4OdNdwFcGNlTcWa0c,https://api.spotify.com/v1/audio-analysis/7mLIL4OdNdwFcGNlTcWa0c,277327,4
50,0.606,0.24,3,-7.102,1,0.0369,0.772,0.0,0.0819,0.526,96.792,audio_features,5QTdOvIF2ehBMZpSIIGzIo,spotify:track:5QTdOvIF2ehBMZpSIIGzIo,https://api.spotify.com/v1/tracks/5QTdOvIF2ehBMZpSIIGzIo,https://api.spotify.com/v1/audio-analysis/5QTdOvIF2ehBMZpSIIGzIo,199210,4
51,0.498,0.695,8,-7.786,1,0.0744,0.604,0.457,0.0596,0.335,84.76,audio_features,0y5AQnBxRnntXBDiXrQ5sE,spotify:track:0y5AQnBxRnntXBDiXrQ5sE,https://api.spotify.com/v1/tracks/0y5AQnBxRnntXBDiXrQ5sE,https://api.spotify.com/v1/audio-analysis/0y5AQnBxRnntXBDiXrQ5sE,186060,4
52,0.541,0.483,1,-10.675,0,0.0514,0.351,0.4,0.111,0.641,80.73,audio_features,3ishRxjsqYVk6FdAGeeUAP,spotify:track:3ishRxjsqYVk6FdAGeeUAP,https://api.spotify.com/v1/tracks/3ishRxjsqYVk6FdAGeeUAP,https://api.spotify.com/v1/audio-analysis/3ishRxjsqYVk6FdAGeeUAP,199490,4
53,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,audio_features,01TyFEZu6mHbffsVfxgrFn,spotify:track:01TyFEZu6mHbffsVfxgrFn,https://api.spotify.com/v1/tracks/01TyFEZu6mHbffsVfxgrFn,https://api.spotify.com/v1/audio-analysis/01TyFEZu6mHbffsVfxgrFn,215111,4
54,0.833,0.722,1,-5.563,1,0.136,0.0573,1.14e-05,0.358,0.588,107.019,audio_features,1Q0FDNRgl5sFN5aJctxk2G,spotify:track:1Q0FDNRgl5sFN5aJctxk2G,https://api.spotify.com/v1/tracks/1Q0FDNRgl5sFN5aJctxk2G,https://api.spotify.com/v1/audio-analysis/1Q0FDNRgl5sFN5aJctxk2G,175343,4
55,0.891,0.587,6,-4.281,0,0.115,0.00317,0.000154,0.0487,0.753,120.029,audio_features,1ITsmuChPVC05ogvorAyVu,spotify:track:1ITsmuChPVC05ogvorAyVu,https://api.spotify.com/v1/tracks/1ITsmuChPVC05ogvorAyVu,https://api.spotify.com/v1/audio-analysis/1ITsmuChPVC05ogvorAyVu,172630,4
