,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
49,0.536,0.69,7,-4.841,1,0.0402,0.00132,0.000682,0.121,0.306,121.957,audio_features,504M3WFELlSIxDi3cf1RTL,spotify:track:504M3WFELlSIxDi3cf1RTL,https://api.spotify.com/v1/tracks/504M3WFELlSIxDi3cf1RTL,https://api.spotify.com/v1/audio-analysis/504M3WFELlSIxDi3cf1RTL,242120,4
50,0.59,0.869,2,-5.536,1,0.359,0.0254,0.0,0.449,0.638,103.902,audio_features,7yQx2XC4WFcxslvCGH0Ha7,spotify:track:7yQx2XC4WFcxslvCGH0Ha7,https://api.spotify.com/v1/tracks/7yQx2XC4WFcxslvCGH0Ha7,https://api.spotify.com/v1/audio-analysis/7yQx2XC4WFcxslvCGH0Ha7,216213,4
51,0.632,0.174,0,-8.519,1,0.0305,0.884,0.0,0.0903,0.379,95.372,audio_features,2RAeTADkAJF8S8ophVHmOa,spotify:track:2RAeTADkAJF8S8ophVHmOa,https://api.spotify.com/v1/tracks/2RAeTADkAJF8S8ophVHmOa,https://api.spotify.com/v1/audio-analysis/2RAeTADkAJF8S8ophVHmOa,224627,4
52,0.455,0.0516,1,-11.853,1,0.0927,0.806,0.0,0.0817,0.235,115.193,audio_features,0uwm2EOditziKCWSRRLN0A,spotify:track:0uwm2EOditziKCWSRRLN0A,https://api.spotify.com/v1/tracks/0uwm2EOditziKCWSRRLN0A,https://api.spotify.com/v1/audio-analysis/0uwm2EOditziKCWSRRLN0A,61672,4
53,0.673,0.785,0,-4.564,0,0.0318,0.0679,0.0,0.256,0.684,113.918,audio_features,5ksNgN3RWCBbq2sUB1KoNv,spotify:track:5ksNgN3RWCBbq2sUB1KoNv,https://api.spotify.com/v1/tracks/5ksNgN3RWCBbq2sUB1KoNv,https://api.spotify.com/v1/audio-analysis/5ksNgN3RWCBbq2sUB1KoNv,222122,4
54,0.62,0.958,2,-4.235,1,0.293,0.0153,4.96e-06,0.0872,0.475,87.507,audio_features,3HGaAiNXw4Yoq2KlIhfsbo,spotify:track:3HGaAiNXw4Yoq2KlIhfsbo,https://api.spotify.com/v1/tracks/3HGaAiNXw4Yoq2KlIhfsbo,https://api.spotify.com/v1/audio-analysis/3HGaAiNXw4Yoq2KlIhfsbo,182280,4
55,0.541,0.202,0,-11.446,1,0.0325,0.545,0.00287,0.106,0.0786,112.07,audio_features,2lNnzs6zL31EHqCdFvvRma,spotify:track:2lNnzs6zL31EHqCdFvvRma,https://api.spotify.com/v1/tracks/2lNnzs6zL31EHqCdFvvRma,https://api.spotify.com/v1/audio-analysis/2lNnzs6zL31EHqCdFvvRma,243493,4
56,0.468,0.785,0,-5.781,1,0.0547,0.152,0.0,0.126,0.704,79.137,audio_features,45atiun6nkdVJiLnOgqWu9,spotify:track:45atiun6nkdVJiLnOgqWu9,https://api.spotify.com/v1/tracks/45atiun6nkdVJiLnOgqWu9,https://api.spotify.com/v1/audio-analysis/45atiun6nkdVJiLnOgqWu9,264507,4
57,0.529,0.735,9,-9.644,0,0.0353,0.00134,0.0,0.277,0.632,110.855,audio_features,3plhZV4y22iTAOI8Mpf9kX,spotify:track:3plhZV4y22iTAOI8Mpf9kX,https://api.spotify.com/v1/tracks/3plhZV4y22iTAOI8Mpf9kX,https://api.spotify.com/v1/audio-analysis/3plhZV4y22iTAOI8Mpf9kX,356560,4
58,0.366,0.927,2,-4.7,1,0.151,0.00797,0.0,0.135,0.769,138.586,audio_features,3LA5kI6ohA91mhyE3E2hyf,spotify:track:3LA5kI6ohA91mhyE3E2hyf,https://api.spotify.com/v1/tracks/3LA5kI6ohA91mhyE3E2hyf,https://api.spotify.com/v1/audio-analysis/3LA5kI6ohA91mhyE3E2hyf,198667,5
59,0.587,0.441,4,-9.435,1,0.059,0.0432,0.000263,0.226,0.262,99.868,audio_features,6H53MYrvMD9yVIowE5qCpB,spotify:track:6H53MYrvMD9yVIowE5qCpB,https://api.spotify.com/v1/tracks/6H53MYrvMD9yVIowE5qCpB,https://api.spotify.com/v1/audio-analysis/6H53MYrvMD9yVIowE5qCpB,244533,4
60,0.593,0.861,9,-6.62,0,0.0352,0.00369,0.0,0.19,0.547,110.048,audio_features,7q8OD5NacFEKikwwBtjQNo,spotify:track:7q8OD5NacFEKikwwBtjQNo,https://api.spotify.com/v1/tracks/7q8OD5NacFEKikwwBtjQNo,https://api.spotify.com/v1/audio-analysis/7q8OD5NacFEKikwwBtjQNo,218600,4
61,0.437,0.803,3,-6.495,1,0.0579,0.0484,1.78e-05,0.0648,0.203,142.052,audio_features,1NQ4npvn1gqrAZ1rbXfKYE,spotify:track:1NQ4npvn1gqrAZ1rbXfKYE,https://api.spotify.com/v1/tracks/1NQ4npvn1gqrAZ1rbXfKYE,https://api.spotify.com/v1/audio-analysis/1NQ4npvn1gqrAZ1rbXfKYE,234853,4
62,0.602,0.825,7,-4.996,1,0.0285,0.00561,1.8e-05,0.568,0.648,119.005,audio_features,2NOUJrSaAKZ7YDE5trWklq,spotify:track:2NOUJrSaAKZ7YDE5trWklq,https://api.spotify.com/v1/tracks/2NOUJrSaAKZ7YDE5trWklq,https://api.spotify.com/v1/audio-analysis/2NOUJrSaAKZ7YDE5trWklq,258707,4
